Personnage(s);Auteur(s);Coordonnées géographiques;Année;Photo
Le Petit Spirou - De Kleine Robbedoes;Tome & Janry;50.8942608,4.34231;1996;https://opendata.bruxelles.be/api/v2/catalog/datasets/bruxelles_parcours_bd/files/e9253014ff64dad3d93bd219b48dde27
Titeuf;Zep;50.8700844057,4.34397697449;2006;https://opendata.bruxelles.be/api/v2/catalog/datasets/bruxelles_parcours_bd/files/be1b81c424c1c7dd7c439f41f35c44b4
Tour à Plomb - Hageltoren;Zidrou;50.847841,4.3395;2018;https://opendata.bruxelles.be/api/v2/catalog/datasets/bruxelles_parcours_bd/files/3fbdb4ab453db7953a8102c280fccb9b
LGBT;Ralf König;50.846751,4.349346;2015;https://opendata.bruxelles.be/api/v2/catalog/datasets/bruxelles_parcours_bd/files/b4e911f8017cf49cd909d43d5fd5631b
Quick & Flupke;Hergé;50.840422,4.350264;2015;https://opendata.bruxelles.be/api/v2/catalog/datasets/bruxelles_parcours_bd/files/ed14f6d465eca77e0cda3af8d2e7d8cd
Tamara;Zidrou & Christian Darasse;50.882038,4.344161;2019;https://opendata.bruxelles.be/api/v2/catalog/datasets/bruxelles_parcours_bd/files/45d639099c7e8ef32ad0847ace32f109
Olivier Rameau - Roze Bottel;Dany;50.8450258477,4.34929847717;1997;https://opendata.bruxelles.be/api/v2/catalog/datasets/bruxelles_parcours_bd/files/70731c544c1d70ec9f524e253833d82e
Bob & Bobette - Suske & Wiske (Spike & Suzy);Willy Vandersteen;50.8546445081,4.35225963593;1995;https://opendata.bruxelles.be/api/v2/catalog/datasets/bruxelles_parcours_bd/files/92456447d0bec929fb67778d5b7263e8
Spirou - Robbedoes;Yoann & Vehlmann;50.8380325,4.3505493;2014;https://opendata.bruxelles.be/api/v2/catalog/datasets/bruxelles_parcours_bd/files/42226c9f5cf9c58a6bb484ceb4692c09
Jojo;Geerts;50.8351206193,4.34547901154;1996;https://opendata.bruxelles.be/api/v2/catalog/datasets/bruxelles_parcours_bd/files/286d5f6c19349bb005a67ffa4def5f41
Le Chat - De Kat;Philippe Geluck;50.8378444279,4.34198141098;1993;https://opendata.bruxelles.be/api/v2/catalog/datasets/bruxelles_parcours_bd/files/3459b591945be7a65c506a8aed6dd834
L'Ange de Sambre - De Aartsengel;Yslaire;50.8489412883,4.34687376022;1998;https://opendata.bruxelles.be/api/v2/catalog/datasets/bruxelles_parcours_bd/files/ea16ae9a73a94d675b881ffcdde02717
Crocodiles - Krokodillen;Juliette Boutant & Thomas Mathieu;50.8522510917,4.35844043349;2020;https://opendata.bruxelles.be/api/v2/catalog/datasets/bruxelles_parcours_bd/files/5c0aa67e9adaa5b67b422f30f33be94d
Les rêves de Nick - De dromen van Nick;Herman;50.8487651682,4.3412733078;1999;https://opendata.bruxelles.be/api/v2/catalog/datasets/bruxelles_parcours_bd/files/671228b0d37fcd778bb1312dfe5e12b5
Parchis;Peter Willems;50.87021,4.342756;2016;https://opendata.bruxelles.be/api/v2/catalog/datasets/bruxelles_parcours_bd/files/3a6c0d5d2601f4e0dd4c8b4c1a40f497
Lincoln;Jouvray;50.8772608627,4.35940504074;2006;https://opendata.bruxelles.be/api/v2/catalog/datasets/bruxelles_parcours_bd/files/8ca25e2a125ca288f4b825ed7a431a08
Lucky Luke;Morris;50.8475,4.341417;1993;https://opendata.bruxelles.be/api/v2/catalog/datasets/bruxelles_parcours_bd/files/41db21c90445a9f33a541dc6425d5d4b
Petit Poilu - Stoppeltje;Céline Fraipont & Pierre Bailly;50.8929672241,4.42356586456;2020;https://opendata.bruxelles.be/api/v2/catalog/datasets/bruxelles_parcours_bd/files/a08944cf91956e0779307e1c75a2a50e
Les ancêtres bienveillants;Fabienne Loodts;50.8399042095,4.34353265336;2019;https://opendata.bruxelles.be/api/v2/catalog/datasets/bruxelles_parcours_bd/files/4be73d27a68fd5fd381ffbbbb3035fb0
Monsieur Jean - Meneer Johan;Dupuy & Berberian;50.8444432454,4.34818267822;2002;https://opendata.bruxelles.be/api/v2/catalog/datasets/bruxelles_parcours_bd/files/a40148a7c88b66ad16dad3b3dbb37991
Le Scorpion - De Schorpioen;Marini;50.8477626262,4.3621301651;2002;https://opendata.bruxelles.be/api/v2/catalog/datasets/bruxelles_parcours_bd/files/692b65a44bd17cbe4133a0740d75b6ce
Marsupilami;Franquin;50.8907142,4.3371644;2013;https://opendata.bruxelles.be/api/v2/catalog/datasets/bruxelles_parcours_bd/files/3a8f0c7db8f0dd56366bb9af26f6a586
La Voie lactée;Mathilde Van Gheluwe;50.8394619195,4.34260158861;2019;https://opendata.bruxelles.be/api/v2/catalog/datasets/bruxelles_parcours_bd/files/4be73d27a68fd5fd381ffbbbb3035fb0
Kinky & Cosy;Nix;50.844758,4.347687;2016;https://opendata.bruxelles.be/api/v2/catalog/datasets/bruxelles_parcours_bd/files/4580df6b0ff08980cea8c9ee4fda221a
Boule & Bill - Bollie & Billie;Roba;50.8376411641,4.3455862999;1992;https://opendata.bruxelles.be/api/v2/catalog/datasets/bruxelles_parcours_bd/files/aa2e93be07c4ed2ced54c3bec6adf61b
Le roi des mouches;Mezzo;50.87640787,4.35762405396;2007;https://opendata.bruxelles.be/api/v2/catalog/datasets/bruxelles_parcours_bd/files/85b0c57bf5870af5f4b0f4f6e33dbb15
XIII;William Vance & Jean Van Hamme;50.8430806,4.3483808;2010;https://opendata.bruxelles.be/api/v2/catalog/datasets/bruxelles_parcours_bd/files/adc33ead8bee65f40bc5dc8aef1aec11
Victor Sackville;Carin;50.8461097396,4.34876203537;2002;https://opendata.bruxelles.be/api/v2/catalog/datasets/bruxelles_parcours_bd/files/8d6100cb7a76e025eaf05fdc0c2ce4e5
Yoko Tsuno;Roger Leloup;50.8425826,4.3474095;2011;https://opendata.bruxelles.be/api/v2/catalog/datasets/bruxelles_parcours_bd/files/2550fc22f01eac5da46b810af9d3beec
Astérix & Obélix;Goscinny & Uderzo;50.8464078054,4.34236764908;2005;https://opendata.bruxelles.be/api/v2/catalog/datasets/bruxelles_parcours_bd/files/86a409ca936ebf37933fe81f8c99e364
